yaw,pitch,roll,voltage,temperature,time
-0.76,-0.03,0.14,2.34,72.56,14682
-0.77,-0.01,0.14,2.36,72.56,14717
-0.78,0.01,0.11,2.37,72.56,14755
-0.81,0.01,0.10,2.38,72.56,14789
-0.83,-0.01,0.09,2.39,72.56,14826
-0.85,-0.01,0.06,2.39,72.56,14862
-0.84,-0.03,0.09,2.39,72.56,14903
-0.83,-0.03,0.12,2.38,72.56,14934
-0.80,-0.03,0.15,2.36,72.56,14970
-0.76,-0.01,0.15,2.39,72.56,15007
-0.73,0.02,0.10,2.36,72.56,15044
-0.73,0.06,0.10,2.39,72.56,15078
-0.77,0.16,0.17,2.39,72.38,15115
-0.82,0.27,0.21,2.37,72.56,15148
-0.90,0.45,0.19,2.36,72.56,15185
-0.99,0.63,0.17,2.39,72.56,15220
-1.17,0.90,0.16,2.42,72.38,15256
-1.34,1.18,0.19,2.41,72.38,15291
-1.61,1.51,0.27,2.43,72.38,15327
-1.89,1.86,0.28,2.36,72.21,15362
-2.12,2.10,0.28,2.35,72.38,15396
-2.44,2.35,0.32,2.34,72.56,15436
-2.68,2.59,0.40,2.39,72.38,15469
-2.90,3.00,0.43,2.35,72.56,15504
-3.02,3.34,0.36,2.40,72.38,15538
-3.25,3.74,0.25,2.40,72.56,15574
-3.51,4.03,0.32,2.38,72.56,15608
-3.91,4.37,0.66,2.37,72.38,15645
-4.21,4.81,0.98,2.38,72.38,15679
-4.58,5.97,1.37,2.42,72.56,15716
-4.85,6.64,1.61,2.39,72.38,15749
-5.12,7.34,1.59,2.37,72.56,15786
-5.42,7.76,1.57,2.36,72.56,15821
-5.96,8.33,1.72,2.37,72.38,15857
-6.39,9.18,1.90,2.42,72.38,15892
-6.99,9.82,2.14,2.37,72.56,15928
-7.58,10.21,2.22,2.38,72.56,15967
-8.06,10.75,2.36,2.38,72.56,15999
-8.69,11.38,2.57,2.39,72.38,16036
-9.12,11.77,2.75,2.37,72.56,16071
-9.75,13.09,3.12,2.37,72.56,16109
-10.37,14.44,3.51,2.40,72.38,16146
-10.81,15.48,3.50,2.41,72.56,16182
-11.37,17.10,3.44,2.39,72.56,16221
-11.82,18.07,3.21,2.40,72.38,16257
-12.41,19.08,3.59,2.36,72.38,16295
-12.76,19.97,3.49,2.38,72.38,16331
-13.25,20.94,3.37,2.42,72.38,16370
-13.59,21.35,3.45,2.41,72.56,16408
-14.02,21.76,3.85,2.38,72.38,16445
-15.37,27.83,3.43,2.41,72.38,16534
-15.38,30.82,3.41,2.39,72.56,16566
-15.21,33.06,4.40,2.43,72.38,16597
-14.82,34.70,5.47,2.41,72.56,16630
-14.36,35.90,6.56,2.35,72.38,16662
-13.43,36.60,8.18,2.36,72.38,16696
-12.47,36.69,9.01,2.39,72.38,16727
-10.71,37.00,9.91,2.38,72.38,16779
-8.96,37.08,9.84,2.40,72.38,16817
-7.68,37.22,9.92,2.38,72.38,16848
-6.59,37.17,10.29,2.39,72.38,16880
-5.69,37.29,10.92,2.38,72.38,16913
-4.64,37.18,12.05,2.37,72.38,16946
-3.80,36.93,12.30,2.39,72.56,16981
-2.42,36.69,11.50,2.38,72.38,17019
-1.18,37.19,10.54,2.40,72.38,17060
-0.38,37.61,10.22,2.36,72.38,17093
0.19,38.36,10.37,2.37,72.38,17132
0.13,38.98,11.33,2.40,72.38,17169
-0.10,38.83,12.29,2.39,72.38,17204
-0.84,39.00,13.49,2.41,72.38,17241
-1.63,39.27,14.49,2.39,72.38,17279
-2.78,39.68,15.58,2.38,72.38,17317
-3.86,39.84,16.48,2.38,72.38,17353
