yaw,pitch,roll,voltage,temperature,time
-1.12,-0.31,-0.49,2.39,74.18,9335
-1.12,-0.31,-0.49,2.46,74.18,9372
-1.11,-0.31,-0.49,2.39,74.18,9412
-1.11,-0.30,-0.49,2.46,74.18,9448
-1.11,-0.30,-0.49,2.39,74.18,9485
-1.11,-0.29,-0.49,2.46,74.18,9522
-1.11,-0.30,-0.49,2.38,74.54,9558
-1.11,-0.30,-0.49,2.46,74.18,9595
-1.11,-0.30,-0.49,2.38,74.18,9631
-1.11,-0.29,-0.49,2.45,74.18,9667
-1.11,-0.29,-0.49,2.39,74.18,9704
-1.11,-0.29,-0.49,2.46,74.18,9741
-1.10,-0.29,-0.49,2.39,74.18,9777
-1.10,-0.29,-0.49,2.46,74.18,9814
-1.09,-0.29,-0.49,2.39,74.18,9851
-1.09,-0.29,-0.49,2.47,74.18,9912
-1.09,-0.28,-0.49,2.39,74.18,9953
-1.09,-0.29,-0.49,2.46,74.18,9989
-1.09,-0.30,-0.49,2.39,74.18,10026
-1.09,-0.30,-0.49,2.46,74.18,10063
-1.09,-0.29,-0.49,2.39,74.18,10098
-1.09,-0.29,-0.50,2.46,74.18,10135
-1.09,-0.30,-0.50,2.39,74.18,10172
-1.09,-0.29,-0.50,2.46,74.18,10208
-1.09,-0.29,-0.50,2.38,74.18,10245
-1.09,-0.29,-0.49,2.46,74.18,10283
-1.09,-0.29,-0.49,2.39,74.18,10319
-1.08,-0.29,-0.49,2.46,74.18,10355
-1.07,-0.28,-0.49,2.39,74.18,10392
-1.07,-0.28,-0.49,2.46,74.18,10428
-1.07,-0.28,-0.49,2.39,74.18,10465
-1.07,-0.28,-0.49,2.47,74.18,10506
-1.07,-0.28,-0.49,2.38,74.18,10543
-1.07,-0.28,-0.49,2.46,74.18,10579
-1.07,-0.28,-0.49,2.39,74.18,10616
-1.07,-0.28,-0.49,2.46,74.18,10652
-1.07,-0.28,-0.49,2.39,74.18,10688
-1.06,-0.28,-0.49,2.46,74.18,10725
-1.06,-0.28,-0.49,2.39,74.18,10761
-1.06,-0.28,-0.49,2.47,74.18,10798
-1.05,-0.27,-0.49,2.38,74.18,10835
-1.05,-0.28,-0.49,2.46,74.18,10871
-1.04,-0.28,-0.49,2.39,74.18,10907
-1.04,-0.28,-0.49,2.46,74.18,10944
-1.04,-0.28,-0.49,2.39,74.18,10980
-1.04,-0.28,-0.50,2.46,74.18,11021
-1.04,-0.28,-0.50,2.39,74.18,11058
-1.04,-0.27,-0.50,2.47,74.18,11095
-1.04,-0.27,-0.50,2.39,74.18,11131
-1.04,-0.28,-0.50,2.46,74.18,11167
-1.04,-0.28,-0.50,2.39,74.18,11205
-1.04,-0.28,-0.50,2.47,74.18,11241
-1.03,-0.27,-0.49,2.30,74.18,11278
-1.02,-0.23,-0.49,2.43,74.18,11315
-1.00,-0.21,-0.49,2.38,74.18,11351
-0.96,-0.19,-0.50,2.47,74.18,11388
-0.99,0.08,-0.50,2.41,74.18,11425
-1.01,0.07,-0.47,2.48,74.18,11460
-1.08,0.11,-0.55,2.40,74.18,11497
-1.22,0.23,-0.61,2.48,74.18,11538
-1.38,0.25,-0.64,2.41,74.18,11575
-1.46,0.24,-0.68,2.49,74.18,11611
-1.52,0.22,-0.76,2.43,74.18,11648
-1.53,0.31,-0.75,2.48,73.82,11685
-1.49,0.41,-0.71,2.39,74.18,11720
-1.33,0.53,-0.73,2.46,74.18,11757
-1.11,0.57,-0.73,2.39,74.18,11793
