voltage,current,airspeed,throttle, ms
329,0,556,983,37443
329,0,556,983,37479
329,0,556,983,37515
329,0,556,984,37551
329,0,556,983,37587
329,0,555,983,37623
329,0,556,983,37659
329,0,556,983,37695
329,0,556,984,37731
329,0,556,984,37767
329,0,556,983,37804
329,0,556,983,37839
329,0,556,984,37875
329,0,556,983,37911
329,0,556,983,37947
329,0,556,983,37983
329,0,555,984,38020
329,0,556,984,38055
329,0,556,984,38091
329,0,556,984,38127
329,0,556,984,38163
329,0,556,983,38199
329,0,555,984,38236
329,0,556,983,38272
329,0,556,983,38307
329,0,556,984,38343
329,0,556,984,38379
329,0,555,984,38415
329,0,556,984,38452
329,0,556,983,38488
329,0,556,983,38523
329,0,556,983,38559
329,0,556,983,38595
329,0,556,984,38631
329,0,556,983,38667
329,0,556,984,38704
329,0,556,990,38739
329,0,556,984,38775
329,0,556,984,38811
329,0,555,983,38847
329,0,556,984,38883
329,0,555,983,38920
329,0,556,990,38956
329,0,556,983,38991
329,0,556,984,39027
329,0,556,983,39063
329,0,556,983,39099
329,0,556,984,39136
329,0,556,989,39172
329,0,556,983,39207
329,0,555,983,39243
329,0,556,984,39279
329,0,556,984,39315
329,0,556,984,39352
329,0,556,984,39388
329,0,556,983,39424
329,0,556,983,39459
329,0,556,984,39495
329,0,556,984,39531
329,0,557,983,39568
329,0,556,984,39604
329,0,556,984,39640
329,0,556,984,39675
329,0,555,984,39711
329,0,556,984,39747
329,0,556,984,39784
329,0,556,983,39820
329,0,555,984,39856
329,0,556,984,39891
329,0,556,983,39927
329,0,556,984,39963
329,0,556,1031,40000
328,28,556,1116,40036
328,28,556,1205,40072
327,28,558,1237,40108
328,16,556,1237,40143
329,8,556,1238,40180
329,5,556,1238,40216
328,53,556,1233,40252
325,120,557,1239,40288
323,159,555,1239,40324
310,179,556,1239,40359
322,144,554,1239,40396
322,128,555,1247,40432
325,96,555,1241,40468
325,75,557,1248,40504
326,63,556,1248,40540
325,59,557,1248,40576
324,96,556,1292,40612
321,156,556,1379,40648
317,169,554,1505,40684
314,256,556,1679,40721
311,342,558,1813,40757
307,483,557,1869,40793
308,477,556,1900,40828
310,428,551,1939,40864
309,392,559,1999,40901
309,428,559,2002,40937
310,402,558,2002,40973
309,444,555,2002,41009
308,465,555,2002,41044
307,486,555,2001,41081
306,488,555,2002,41117
306,481,563,2002,41153
305,477,571,2002,41189
309,432,578,2002,41225
304,494,576,2002,41261
305,490,559,2002,41297
306,496,547,2002,41333
306,488,549,2002,41369
305,497,561,2002,41405
305,483,565,2002,41441
306,478,565,2002,41477
304,484,556,2002,41513
304,483,554,2002,41549
305,485,552,2003,41585
307,459,555,2002,41621
305,491,565,2002,41657
304,490,572,2001,41693
303,490,581,2002,41729
304,488,573,895,41764
304,460,580,2008,41801
306,446,582,2002,41837
307,445,587,2002,41873
305,444,586,2002,41909
305,445,588,2002,41945
305,444,589,2002,41981
306,419,587,2008,42017
305,422,589,2001,42053
303,481,590,2002,42089
302,489,587,2002,42125
305,435,590,2002,42161
305,447,591,2002,42198
303,477,593,2007,42233
303,442,595,2002,42269
306,442,597,2002,42305
306,443,599,2002,42341
307,443,601,2002,42377
302,507,603,2002,42414
299,508,604,2002,42449
302,510,608,2002,42485
302,498,611,2002,42521
303,497,610,2002,42557
304,434,608,2002,42593
303,432,601,2002,42630
304,494,594,2002,42665
301,490,592,2002,42701
301,492,590,2002,42737
301,486,592,2002,42773
303,485,597,2002,42809
302,510,599,1995,42846
299,506,594,1955,42882
300,492,588,1902,42917
306,423,588,1887,42953
306,395,593,1867,42989
305,386,598,1859,43025
306,361,597,1831,43061
309,336,596,1830,43098
310,314,602,1804,43133
311,275,604,1771,43169
311,246,609,1753,43205
311,242,607,1730,43241
314,208,605,1720,43277
316,171,606,1692,43313
316,171,606,1697,43350
315,174,603,1679,43385
315,150,608,1664,43421
315,159,604,1663,43457
315,161,611,1663,43493
316,166,607,1662,43529
316,167,602,1669,43566
